ticker,name,market,first_early_date,first_early_close
330590,롯데리츠,KOSPI,2026-08-04,3625.0
332570,PS일렉트로닉스,KOSDAQ,2026-08-13,11160.0
334890,이지스밸류플러스리츠,KOSPI,2026-08-10,3700.0
344820,KCC글라스,KOSPI,2026-08-06,23800.0
357120,코람코라이프인프라리츠,KOSPI,2026-08-04,4220.0
377450,리파인,KOSDAQ,2026-08-05,13180.0
377740,바이오노트,KOSPI,2026-08-07,4845.0
404990,신한서부티엔디리츠,KOSPI,2026-08-03,3935.0
415640,KB발해인프라,KOSPI,2026-08-28,10450.0
417310,코람코더원리츠,KOSPI,2026-08-05,10750.0
443060,HD현대마린솔루션,KOSPI,2026-08-19,209500.0
446540,메가터치,KOSDAQ,2026-08-10,7790.0
448730,삼성FN리츠,KOSPI,2026-08-03,5380.0
451800,한화리츠,KOSPI,2026-08-27,5280.0
453340,현대그린푸드,KOSPI,2026-08-03,17830.0
461300,아이스크림미디어,KOSDAQ,2026-08-26,19500.0
462870,시프트업,KOSPI,2026-08-10,32400.0
483650,달바글로벌,KOSPI,2026-08-03,223500.0
